;DC_NOME;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;CD_ESTACAO
1;ALEGRETE;-29,70916666;-55,52555554;120,88;A826
2;BAGE;-31,34777777;-54,01333333;226,19;A827
3;BENTO GONCALVES;-29,164581;-51,534202;623,27;A840
4;CACAPAVA DO SUL;-30,54527777;-53,46694443;420,82;A812
5;CAMAQUA;-30,807953;-51,83424;92,3;A838
6;CAMBARA DO SUL;-29,04916666;-50,14972221;1017;A897
7;CAMPO BOM;-29,674293;-51,064042;23,35;A884
8;CANELA;-29,36888888;-50,82722221;830,93;A879
9;CANGUCU;-31,40333333;-52,70083333;446,81;A811
10;CAPAO DO LEAO (PELOTAS);-31,8025;-52,40722222;13;A887
11;CRUZ ALTA;-28,60344;-53,673597;426,69;A853
12;DOM PEDRITO;-31,0025;-54,61805554;150;A881
13;ENCRUZILHADA DO SUL;-30,54305555;-52,52472221;427,75;A893
14;ERECHIM;-27,65777777;-52,30583333;777,08;A828
15;FREDERICO WESTPHALEN;-27,39555555;-53,42944443;489,42;A854
16;IBIRUBA;-28,65333333;-53,11194444;455,27;A883
17;JAGUARAO;-32,53472221;-53,37583332;31,48;A836
18;LAGOA VERMELHA;-28,222381;-51,512845;833,83;A844
19;MOSTARDAS;-31,24833333;-50,90638888;3,82;A878
20;PALMEIRA DAS MISSOES;-27,92027777;-53,31805554;614,11;A856
21;PASSO FUNDO;-28,226805;-52,403582;680,67;A839
22;PORTO ALEGRE - JARDIM BOTANICO;-30,05361111;-51,17472221;41,18;A801
23;QUARAI;-30,368578;-56,437115;113,05;A831
24;RIO GRANDE;-32,07888888;-52,16777777;4,92;A802
25;RIO PARDO;-29,87222221;-52,38194443;106,99;A813
26;SANTA MARIA;-29,72499999;-53,72055554;103,1;A803
27;SANTA ROSA;-27,89055555;-54,47999999;272,84;A810
28;SANTANA DO LIVRAMENTO;-30,75055555;-55,40138888;196;A804
29;SANTIAGO;-29,191599;-54,885653;390,03;A833
30;SANTO AUGUSTO;-27,85444444;-53,7911111;489,67;A805
31;SAO BORJA;-28,65;-56,01638888;81,08;A830
32;SAO GABRIEL;-30,34138888;-54,31083333;114,89;A832
33;SAO JOSE DOS AUSENTES;-28,7486111;-50,05777777;1228,59;A829
34;SAO LUIZ GONZAGA;-28,41722221;-54,9625;245,5;A852
35;SAO VICENTE DO SUL;-29,70222222;-54,69444444;134;A889
36;SERAFINA CORREA;-28,70472222;-51,87083332;485,29;A894
37;SOLEDADE;-28,859211;-52,542387;660,44;A837
38;Santa Vitoria do Palmar - Barra do Chui;-33,74222221;-53,37222221;7,41;A899
39;TEUTONIA;-29,44916666;-51,82333332;81;A882
40;TORRES;-29,35027777;-49,73333333;8,44;A808
41;TRAMANDAI;-30,01027777;-50,13583333;4,56;A834
42;TUPANCIRETA;-29,08944444;-53,82666666;462;A886
43;URUGUAIANA;-29,83999999;-57,08194443;74,29;A809
44;VACARIA;-28,51361111;-50,88277777;969,89;A880
